Interest,Category,Datamuse Nouns,Datamuse Verbs,Datamuse Adjectives,ConceptNet Nouns,ConceptNet Verbs,ConceptNet Adjectives
hunting,Texas,"hunter,hunters,bowhunting,muzzleloading,muley,muzzleloader,pheasant,whitewing,fishing,bowhunter,foxhunt,alaska,varmint,archery,furbearer,shikar,ringneck,blacktail,deer,waterfowler,quail,mccarthy,whitetails,chukar,wapiti,antlered,whitecoat,frogging,bobwhite,javelina,waterfowl,decoying,foxhunting,trappers,bluebill,fisher,elk,doe,woodcutting,birding,lyon,crossbow,merganser,snowmobiling,pheasants,treeing,spearfishing,camping,denned,indians,tahr,antelope,trapshooting,carroll,massasauga,shotguns,ptarmigans,fowling,angling,grouse,flintlock,boating,ranching,turkey,alan,moose,nimrod,camo,sportsmen,woodcock,grazing,taxidermy,bushcraft,outfitters,wolf,canvasback,stag,safaris,stags,goshawks,upland,boar,wolves,afield,poachers,partridges,jaeger,buck,venison,trapping,coon,buffalo,forage,breeding,falconry,crabbing,beaver,wildlife,fox,poaching","fishing,deer,camping,fowling,chevy,grazing,trapping,poaching,foraging,duck,butchering,harvesting,skiing,ferret,prowl,logging,cull,rabbit,oink,chasing,camouflage,shoot,herding,fighting,scouting,roaming,chase,raiding,whaling,lodges,kill,racing,pecking,hiking,swimming,feasting,wandering,shooting,killing,sporting,hallow,decimated,digging,mousing,riding,checking,outlawed,gunning,scavenging,roamed,baying,regulating,bow,preserves,pursue,mustering,hawking,preserve,exploring,destroying,wander,jacking,hounding,dancing,poach,hacking,catching,whale,limit,check,hallows,pursues,forbidden,hack,regulate,collecting,loved,regulated,restricting,flush,catch,forbidding,planting,banning,headhunt,indulge,going,call,banned,eating,killed,trace,camped,forbade,carry,flushing,gathering,traveling,hark,kills","pheasant,fishing,whitetail,deer,quail,bobwhite,waterfowl,antelope,moose,woodcock,ungulate,boar,squirrel,searching,goose,coon,buffalo,muskrat,beaver,recreational,duck,safari,morel,wildfowl,snipe,cougar,bowhead,migratory,hog,bird,rabbit,pelagic,possum,grizzly,coyote,equestrian,narwhal,nocturnal,opossum,wild,camouflaged,reindeer,pig,chamois,eagle,mesolithic,mule,mushroom,dugong,neotropical,prehistoric,shooting,looking,ruffed,jaguar,bear,otter,primitive,walrus,polar,antique,poached,crocodile,marine,pursuing,raccoon,lawful,mammal,illegal,honey,inuit,porpoise,predatory,unregulated,catching,blind,afghan,nomadic,collecting,amazonian,selective,regulated,flush,indiscriminate,aboriginal,hippopotamus,fossil,associated,seal,aerial,occasional,terrestrial,maritime,like,licensed,unlimited,beluga,reckless,gathering,good","rifle,agri food,antihunt,aristaeus,bag,bal chatri,basenji,battue,beat,bitch hound,boar spear,bowhunting,brach,canes venatici,captative,chevy,chip shot,close season,cocker,cocking,cooning,bowfishing,bowhunting,blood sport,action performed by animals,intelligent agent activity,outdoor activity,partially mental event,spearfishing,whaling,hunt,search,asteroid hunting,house hunting,bowhunting,househunting,hunt,hunt,job hunting","a rifle,a bullet,duck decoys,getting food,land,a lion,a weapon,involves a good deal of waiting,shooting a duck",
development,indian economy,"economy,economic,growth,industrialization,tourism,sector,infrastructure,revitalization,prosperity,commerce,creation,expansion,vitalization,agriculture,urbanization,innovation,business,housing,manufacturing,recovery,underdevelopment,industry,regeneration,industrial,investment,backwardness,modernization,deconcentration,advancement,construction,industries,bioscience,betterment,environment,sustainable,projects,internationalization,agri,valorization,implementation,diversification,project,africa,mariculture,vitality,commercialization,expansions,population,feasibilities,greenfield,reinvestment,dev,integration,grantsmanship,biotechnology,initiatives,education,resource,exploitation,redevelopment,channelisation,viability,community,extraction,boom,establishment,transformation,upbuilding,renaissance,attainment,developing,megaproject,capitalism,resources,reindustrialization,aquaculture,developers,encroachment,rejuvenation,technology,canadian,banking,deepening,enterprise,future,strengthening,areg,consolidation,backwater,land,leasing,research,beautification,technologic,urban,conceptualisation,nurture,ventures,canada,reinvigoration","stimulate,accelerating,retard,stimulating,finance,develop,nurture,creating,fostering,build,furthering,grow,accelerate,promoting,enhancing,implementing,create,retarded,stimulates,boosting,promote,evolving,facilitating,expand,formulate,stimulated,formulating,innovating,contributes,hinders,encouraging,promotes,influencing,encourage,establishing,evolve,peacemaking,thrive,fosters,developed,achieving,producing,inhibits,contributing,strengthen,contribute,accelerated,enhance,facilitate,develops,evolves,cultivating,facilitates,lagged,influence,flourish,foster,further,addle,continuing,inhibit,enacted,impede,created,establish,act,define,become,improve,acquire,aid,influences,slow,welcome,becomes,hamper,finalizing,inhibited,hinder,evolved,slowed,guiding,produce,administering,guide,turn,encouraged,update,fostered,report,devise,encourages,proceed,promoted,introducing,exploit,determining,speed,pioneered,bear","economic,industrial,agricultural,sustainable,flourishing,developmental,capitalistic,future,capitalist,cultural,technological,urban,expanding,residential,socioeconomic,geothermal,improving,rural,regional,retarded,political,hydroelectric,positive,innovating,pubertal,embryological,encouraging,progressive,anthropogenic,embryonic,peacemaking,autonomous,developed,rapid,advancing,participatory,important,antitumor,antibacterial,backward,innovative,accelerated,harmonious,new,phonological,archaic,postnatal,northern,operating,further,historical,intellectual,libidinal,larval,changing,gradual,downtown,formulated,expanded,intrauterine,atrophied,done,evolutionary,cognitive,ahistorical,administrative,alternative,continued,bad,constitutional,grown,welcome,gonadal,healthy,follicular,creative,ontogenetic,superego,increased,established,planned,adolescent,diachronic,psychosocial,antitrust,uneven,professional,foetal,infant,elaborated,unplanned,unbalanced,prenatal,archean,craniofacial,vertebrate,antinuclear,improved,mental,orderly","develop,developing,accelerant,accelerator,accounting,achordate,adaptive zone,adolescence,aetiogenesis,agenesis,agile,ajdt,allan herndon dudley syndrome,androgen,anthropogenetics,anthroponomy,antidevelopment,antineoplastic,advancement,assibilation,broadening,complication,deepening,change,district,improvement,processing,process,section,elaboration,growth,housing development,housing estate,phenomenon,product development,turn,underdevelopment,unfolding,arrested development,bacterial spore germination,blooming,career development,community development,becoming,biological process,differentiating,egg hatching,embryo development,flowering,germinating,maturing,spore germination event,developing,exploitation,growth,evolution,codevelopment,misdevelopment,neurodevelopment,redevelopment,underdevelopment",,
fpl,premier league,"percent,erp,fdp",had,,,,
fashion,Dresses,"dresses,couture,dress,frocks,gowns,frock,menswear,denim,eveningwear,leggings,playsuit,drapey,outfits,lingerie,wardrobe,garments,catwalk,balenciaga,beachwear,chic,formalwear,womenswear,gown,fashionista,clothing,shirtdress,clothes,attire,kurtis,millinery,rykiel,handbags,chapeaus,sportswear,capelet,swimwear,cheongsam,couturier,culottes,bridal,dkny,hairstyles,marchesa,choli,churidars,fascinator,casualwear,espadrille,streetwear,basques,costumes,ysl,pret,leatherwear,jean,knitwear,neckpieces,stilettos,glam,chignons,monokini,boucle,loungewear,givenchy,seasonless,sheerness,stylist,costume,scanties,apparel,accessorizing,maquillage,garment,clotheshorse,footwear,hairstyle,bijoux,corsetry,outerwear,halston,boutiques,dowdiness,styles,luxe,fash,greige,shapewear,wear,designer,haberdashery,designers,suitings,decor,hem,handbag,chicness,wearability,naartjie,anglomania,feminity","dress,wear,dressed,drape,dance,sew,disport,draped,inspired,aline,bedecked,behave,tailor,cool,suit,decorated,behaving,behaved,treats,embossing,structured,fit,shape,conform,allure,elope,portrayed,behaves,emboss,evolve,come,cast,treated,fall,act,strove,organized,make,react,amuse,treat,cruising,interpreted,alternating,acted,progresses,turn,tries,spreads,touch,striving,cram,labored,dribble,responds,lives,dictated,respond,strive,disposed,dealt,wishes,beat,handled,struggling,prevailing,lacking,reacted,carve,beene,create,cramping,trying,struggled,echo,responded,greeted,functioned,arranged,execute,responding,drew,attempt,cuts,construct,proceeded,drift,worked,compels,interact,raise,configure,devise,seeks,seeking,compose,clamber,endeavored,attempts,tried","dressy,fashionable,trendy,stylish,burlesque,modish,retro,contemporary,parisian,businesslike,stylized,oriental,motherly,tailored,unfashionable,bedecked,manly,antique,gentlemanly,dignified,moderne,inimitable,stereotyped,courtly,stereotypical,grotesque,cavalier,cool,desultory,typical,spectacular,curvilinear,molded,classic,lively,passe,stately,predictable,unmannerly,zigzag,ridiculous,stodgy,haphazard,jerky,christianly,last,uncoordinated,coordinated,relaxed,deadpan,humorous,checkerboard,bizarre,symmetrical,hierarchical,pulsatile,orderly,disorderly,quaint,plastic,customary,like,chaotic,dramatic,perfunctory,brutal,characteristic,fatherly,childish,exaggerated,piecemeal,derogatory,hegelian,usual,nonlinear,cyclic,rhythmic,routine,unorthodox,unpredictable,editorial,leisurely,careless,methodical,spiral,orthodox,mendelian,disciplined,coherent,brittle,directional,modular,masterly,serpentine,animated,aimless,succinct,hot,kindly,iterative","style,clothing,clothes,vogue,design,trend,models,clothing style,style,aberzombie,antifashionable,antifashion,antipathetically,antipathically,antistyle,anvil,barbie,beholden,big hair,big,bitstock,bon ton,cult of personality,cut,fad,consumer goods,practice,vogue,haute couture,line of least resistance,retro,artistic style,facet collection,first order collection,One purpose for a container,colette,dimension,hair tie,hemline,lip liner,moustache wax,trichoptilosis,manner,forge,fashionable,fashionably,fashional,fashion collection,fashion conscious,fashion designer,fashioner,fashionless,fashion model,fashion plate,fashion police,fashion show,fashion victim,fashion week,in fashion,like it's going out of fashion,refashion","jeans,a ribbon,a shoe,craft,make,sew,tie",extravagant
Hotel Forecasting,Hotels,"accommodation,booking,budgeting,outlook,establishments,economy,cruise,housing,exedra,destination,accounting,rates,collocation,decor,amenity,suite,counting,bars,reservation,chalet,room,arabia,observatory,lodge,downgrading,climate,developments,developing,billeting,dockage,figure,building,stays,downgrade,baths,charting,enterprise,going,city,capacity,budget,discount,channels,rate,survey,valet,store,service,view,prospecting,emergency,furnishing,checking,gloom,bed,appraisal,limousine,development,fancy,comparison,house,attribute,buffet,boe,bath,customer,retreat,entertainment,nonevent,average,cost,expenses,redundancy,cinema,shelter,area,terrace,emergencies,figuring,bottoms,ballpark,agency,costs,digit,correlation,itv,cycle,clothing,fall,cruising,dip,depression,stadium,estate,functionality,moon,search,bunker,theater,certainty","overstaff,overbook,calculate,reckon,overestimate,invest,downgrading,billeting,charting,stay,assess,store,prospecting,furnishing,checking,fancy,envisaged,attribute,retreat,continue,compile,hoping,develop,declare,determining,adjusting,fall,cruising,dip,appraise,build,dips,evaluate,evens,dimming,cramming,aiming,charging,hope,fear,antedate,deliver,adjust,tout,sleep,cornering,cram,accommodate,overlook,count,cook,have,establishing,bet,creating,fell,gain,terrasse,wait,offer,comb,cuts,appreciating,climb,gaining,blame,bespeak,keep,develops,drag,looks,beat,digest,furnish,presumed,covers,look,migrate,trust,cool,aim,check,carry,advance,determine,hold,celebrate,gamble,come,addressing,descend,biding,felt,arrange,flee,create,inspect,serve,creep,singling","expected,foreseen,betting,developing,flat,blamed,fancy,anticipated,overlooking,calculated,average,actual,full,due,academic,cloudy,distinct,constant,combed,posted,double,earlier,depositional,bleak,cold,future,deep,dismal,collateral,epizootic,presumed,lower,vacant,casual,all,cool,close,quarantined,dim,fast,retreating,established,dry,early,extreme,ransacked,better,extra,content,ended,above,present,good,great,engaged,upcoming,blind,out,dished,bottom,capped,fair,planted,premature,biased,clean,top,first,charged,foster,flip,permanent,iridescent,shadowed,disappointing,distant,startling,eventual,missing,apt,absconding,designed,balking,barred,advancing,clear,best,drifting,stale,ordained,counter,safe,common,foul,erect,fouled,done,appreciated,black,elaborated",,,
smoke shop,hookah,"smokes,smoking,tobacconist,smoker,cigar,caf,puff,tobacco,incense,ashtray,dispensary,chimney,drink,fire,emporium,bar,baccy,bars,fireplace,coffee,smell,soda,smokehouse,pipe,nicotine,haze,cardroom,fryer,aroma,drugstore,shopping,pot,menthol,tobacconist shop,smokestack,hashish,marijuana,perfume,atomizer,awning,barber,barbecue,oven,cannabis,espresso,barbeque,flue,blaze,bhang,lounge,ganja,kiln,burn,tailpipe,herb,ash,beer,carton,smog,drinks,sawdust,cordite,coffeepot,fireman,wares,licorice,belch,marihuana,heater,hemp,business,eclair,blower,cobbler,groceries,pipes,paratha,pastry,humidor,flower,wok,buffet,vent,bottle,percolator,alarm,mart,grease,malt,beverage,car,automat,blowhole,mill,blast,cave,vase,building,art,bonfire","smokes,drink,smell,bong,eat,blaze,burn,belch,vent,browse,charring,weed,evacuate,drank,bake,blinds,tuck,chat,paint,gamble,vomit,sit,drift,graze,open,borrow,bum,roast,sprout,stop,straggle,shoot,outlaw,prefer,swish,use,ban,talk,chop,sting,bellow,lighter,break,blend,sneak,work,germinate,stain,pick,churn,ask,shut,die,rinse,take out,pack,can,guess,scald,clean,blow,saw,haunt,caving,call,associate,move,lie,wrap,pull,singe,butted,ding,comb,burst,cease,disapprove,drive,repot,shake,mull,fly,clog,chaining,cling,ramify,drag,float,apprehend,catch,spouted,blanking,careen,pinch,gagging,strut,bowled,strike,chalking,abort","smoked,smoky,smokeless,dingy,puffed,panicked,open,black,brown,bellying,acid,teen,stocked,hot,baked,swish,smudged,potted,betting,broadleaf,holy,bronze,free,indian,spouting,sheltered,chipper,smudgy,clean,light,ane,fired,haunting,banned,foreign,all,big,flaky,bare,blank,used,gone,sprouted,bladed,close,mechanical,adventive,blistered,spouted,clear,weedy,better,bankrupt,awesome,planted,clouded,grazed,bitter,best,busting,median,dummy,able,born,based,soft,stacked,bottom,average,layered,rearward,pragmatic,cleared,barred,preferred,active,tilted,blind,brilliant,joint,passive,chopped,tabbed,exchanged,threaded,approaching,rattoon,slipping,starting,intercalary,variable,ruminant,capped,banded,anemophilous,casted,cyclocross,kinnikinic,pragmatical,tailor-made",,,
Advocacy,Advocacy,"advocates,advocate,activism,activist,groups,egale,lobbying,watchdog,outreach,organization,activists,grassroots,antiabortion,antipoverty,freethought,organizations,campaigner,lobby,championing,lgbt,interfaith,associations,association,naderite,nawl,philanthropy,environmentalist,coordinator,enlace,educator,proponents,crusader,education,testone,awareness,baft,cacl,executive,oxfam,advisory,gapa,fieldworks,environmental,environmentalism,protections,nomas,interchurch,waag,volunteer,naus,research,legislative,coalitions,ywca,grantsmanship,director,mainstreaming,caspian,kythe,advocation,preservation,empowerment,lingos,initiatives,suicidology,etan,movement,clearinghouse,intervenor,epha,agency,fontinalis,swiller,lobbyists,gabriela,amicus,nonpartisanship,accompanier,aclu,ethicist,feminist,conservation,lano,rights,homophile,civic,institute,initiative,accrediting,isaiah,lawyer,campaigns,community,counseling,campaigning,aarp,campaign,equality,stakeholder,policy","advocating,lobbying,promotes,promoting,fundraising,mobilizing,organizing,promote,furthering,mentoring,devoted,proselytizing,publicize,disseminate,criticized,upholding,denounce,protects,endangers,aims,partnering,benchmarking,engages,policing,unassociated,engaging,propagating,engage,enhancing,prohibit,reasoned,initiated,distinguished,propagate,balancing,prohibiting,continuing,prompted,prohibits,renewed,helped,defend,stems,aimed,alienated,engaged,coincided,strengthened,stemmed,underlies,abandon,involves,prohibited,couched,contrasted,undertaking,recruiting,coupled,imply,promoted,heightens,preclude,propagated,persisted,tempered,entails,enabling,see,restrain,undertake,grounded,reconcile,bumping,construed,amounts,punish,succeed,balance,combining,entail,mobilising,publicise,punished,stumped","nonprofit,grassroots,educational,advisory,environmental,legislative,tireless,partisan,feminist,outspoken,fundraising,ngo,unwavering,vocal,appellate,ardent,principled,militant,strident,mentoring,passionate,promotive,vociferous,impassioned,political,disseminating,humanitarian,supporting,participatory,courageous,zealous,fervent,vigorous,adversarial,proselytizing,based,referral,steadfast,public,untiring,homeless,eloquent,concerted,uncritical,legal,lifelong,unflinching,peer,proactive,unrelenting,defending,longtime,vehement,cooperative,advancing,longstanding,animal,child,unabashed,relentless,uncompromising,aggressive,assertive,transnational,articulate,fearless,supported,proslavery,attitudinal,forceful,partnering,benchmarking,unrestrained,tenacious,persistent,physician,parent,coordinative,staunch,publicized,persuasive,focused,explicit,called,encouraging,curatorial,instructional,express,unequivocal,representational,forthright,energetic,spirited,family,unlawful,overt,unbridled,postfeminist,subversive,proscribed","acid test,advocacies,advocate,arguing,favour,profession,supporting,advocate,advocational,advocationally,avowry,brief,business,capitulationism,confederationism,cremationism,cyberadvocacy,evolutionism,federalism,hired gun,huxleyan,ideologism,intactivism,jordanianism,lactivism,net raising,nonadvocacy,palestinianism,proletarianism,pro life,proponency,rest,reverse psychology,royalism,school counselor,special interest,wedge politics,support,drumbeat,insistency,urging,protagonism,bidding,self advocacy,offer,recommendation,support",,
hackers,dark web,"internet,websites,phishing,scob,malware,oddjob,cyber,cyberspace,phisher,phish,hack,worm,hacking,trojan,browsers,webmasters,bots,marlinspike,firewalls,telnet,servers,passwords,scammers,vuln,snoops,captcha,spamming,hoster,honeypot,newsgroups,cryptographers,finjan,downloader,crooks,spammer,users,workaround,programmers,defacers,raiu,defacements,spoofing,phreaking,server,gmail,pranksters,sobig,spambot,cybercrime,spammed,steganography,computers,plaintext,emule,viruses,mydoom,intruders,teredo,encryption,antivirus,spam,cyberwar,netizens,infiltrate,software,attackers,whid,ciphertext,moab,spies,flaw,bug,prg,vulnerability,thieves,warez,eavesdropper,cryptography,leakers,network,domage,scams,worms,codebreakers,user,intrusions,espionage,cheaters,burglars,criminals,theives,programmer,pirating,counterfeiters,cyberpunk,surfers,vandals,codebook,security,ruses","hack,download,accessed,exploit,compromised,discover,exploited,steal,scan,access,dedicated,penetrated,compromise,thwart,penetrate,crack,targeted,guess,track,try,motivated,attack,trying,protected,tend,know,gain,prosecute,use,stolen,breaking,like,love,protect,keep,want,enter,slice,break,intercept,attacked,deter,employ,prevent,attract,catch,gaining,prevents,worried,hired,attempting,protecting,hire,hiring,preventing,broken,target,stop,broke,attempt,judged,posed,claim,defending","malicious,sophisticated,nerdy,clever,unscrupulous,casual,wireless,external,true,knowledgeable,many,young,professional,amateur,russian,chinese,criminal,most,ethical,outside,best,skilled,talented,teenage,israeli,expert,dutch,potential,neo,crackers,experienced,fellow","hacker,evil people",gain access,
email campaigns,Marketing,"advertising,campaign,communications,mailing,mailer,promotion,advertisement,spam,media,mail,outreach,publicity,communication,sales,print,propaganda,managing,contacts,management,direct marketing,awareness,sender,forwarding,distribution,advocacy,channels,kaon,intern,directory,director,canvassing,contact,billing,information,bombarding,info,functionality,hyperlink,hype,letters,commerce,barrage,remit,firm,jpg,account,launch,courting,instant,broadcasting,domain,leaflet,channel,application,address,etiquette,education,switchboard,hustings,avalanche,letter,msg,envelope,formatting,dir,label,leadership,salutation,mcluhan,audit,header,diet,banner,bureau,telex,infrastructure,functions,keying,document,call,thomson,broadcasts,can,image,employment,links,coventry,censorship,box,delivery,fema,bugging,aide,indexing,filtering,alliance,link,embedding,futurism,boss","managing,manage,bombarding,communicate,disseminate,remit,jpg,launch,address,send,misdirect,label,interning,embed,edit,educate,keying,call,can,bugging,deliver,inform,filtering,link,embedding,broadcast,distancing,hack,canvass,ask,catapult,canvasses,deploying,lofting,flamed,display,challenge,advance,prints,aim,answer,combating,delivered,drive,flirt,censor,excite,speak,elect,get,convey,duplicate,bid,form,dismounted,browse,linking,follow,connect,deploy,conduct,metering,computerize,fisting,coining,love,guide,console,indexed,lampoon,addressing,mix,deal,apply,combat,appoint,handle,chaining,knock,miss,applying,spell,blink,manoeuvre,collect,hitching,intercept,dribble,recap,filtered,assist,divert,feed,lull,confront,cornering,give,maneuvering,bolster,frustrate","direct,interactive,evangelistic,digital,disseminating,firm,instant,commercial,printed,directed,aggregated,excited,answering,diplomatic,directing,unread,inaugural,manual,critical,blunt,important,accountable,easy,fiscal,counter,human,duplicate,aerial,active,free,matey,indexed,blank,key,commemorative,posted,uncensored,aggregate,bugged,daily,applied,federal,missed,epic,expedited,dished,fired,automatic,hybrid,junior,routine,fast,exchanged,good,aleatoric,right,cold,cross,hard,capped,quarantined,cancelled,berserk,bandy,adult,matched,labeled,lively,ane,molded,extraordinary,dismissed,fine,black,double,dear,giant,imperfect,clear,average,late,out,frustrated,machined,charged,four,diffuse,flush,due,common,blind,accompanying,elephantine,trapped,ile,consenting,intervening,chopped,casted,neorealist",,,
Python,Programming language,"language,programming,languages,reptile,lizard,programmer,crocodile,dictionary,crocodilian,alligator,boa,critter,siamang,leopard,komodo,snake,caiman,iguana,dinosaur,ape,constrictor,smalltalk,creature,kingsnake,gecko,snakes,compiler,croc,gator,binturong,mammal,anaconda,constrictors,alligators,version,tegu,bobcat,hippopotamus,tapir,panther,gnu,stingray,pacu,rabbit,jaguar,tortoise,skink,chihuahua,opossum,giraffe,monkey,rattlesnake,tarantula,species,stonefish,frog,fox,spider,gorilla,andamanese,crocs,kinkajou,serval,raccoon,cobra,lisp,toad,versions,serpent,elephant,cat,rhinoceros,turtle,lorikeet,objects,wallaroo,scorpion,reference,boas,spoonbill,racoon,flamingo,cobras,java,possum,shark,tusk,goanna,arachnid,pig,wallaby,emacs,tiger,arapaima,extensions,copperhead,hummingbird,antelope,skit,unix","programming,coded,coiled,searches,twit,written,swallowing,swallows,bear,embedding,slithered,eaten,uses,allows,kill,supports,runs,kills,implemented,slain,lets,curled,slaying,install,swallow,stroking,ate,installing,killing,wrapped,offers,slays,swallowed,killed,provides,lives,calls,regius,looks,caught,installed,escaped,lying,guarded,evaluates","andamanese,live,burmese,coiled,reticulate,otolith,reticulated,giant,african,chthonic,dead,indian,sacred,female,pure,blotched,large,gigantic,hungry,zany,monstrous,regal,royal,enormous,golden,huge,immense,big,green,mighty,pythonic,idle","snake,pythonic,diamond python,dragon,pythonesque,pythoness,pythonista,pythonist,pythonlike,apollo,comedy,constrict,delphi,high level,interpreted,penis,programming language,snake,troupe,reticulated python,unpythonic,programming language,amethystine python,carpet snake,Indian python,an animal,a constricting snake,boa,spirit,reticulated python,rock python,antaresia childreni,antaresia maculosa,antaresia,antaresia stimsoni,apodora,aspidites melanocephalus,aspidites,aspidites ramsayi,bothrochilus,leiopython,liasis olivaceus,morelia amethistina,morelia boeleni,morelia bredli,morelia carinata,morelia oenpelliensis,morelia spilota cheynei,morelia spilota mcdowelli,morelia spilota metcalfei,morelia spilota,morelia spilota variegata,morelia viridis,python anchietae,prototype based language,Snake,python curtus breitensteini,python curtus brongersmai,python curtus,python molurus,constrictor,snake,python regius,python reticulatus,python sebae natalensis,python sebae,python timoriensis,programming language,reptile,roller coaster,weapon,pythonic,pythonish,pythonista,pythonist",,
phone cases,doha,"telephone,cellphone,case,handset,calls,dial,azan,call,keypad,answering machine,acquired immune deficiency syndrome,instances,contacts,text,typing,modem,email,requests,appeals,ascus,ringtone,pager,baud,incidents,caseload,cab,reply,docket,complaint,lawyer,anu,cell,bali,directory,file,calling,communication,application,bailor,touch,applications,contact,court,belgium,tower,airport,channels,beep,ahmedabad,adapter,occurrences,rings,agranulocytosis,anaemia,arnold,address,respondent,issues,prevalence,appeal,cardiac glycoside,answer,buddhist,autochanger,alexandrine,aloe,camera,var,betty,bangladesh,telco,anus,connectivity,cells,operator,albumin,talk,banyan,bogey,bombe,communications,name,anaphora,babesia,bezel,banco,ear,law,asynchronous transfer mode,register,universal,alias,aneuploidy,press,cairo,acetone,binturong,business,beeping,ambulance","calls,call,reply,touch,address,appeal,answer,talk,transmit,register,transact,beeping,ask,form,vibrate,asks,decline,wait,arraign,say,appealed,blinds,apply,bordering,blogging,applying,act,assign,adds,suit,ache,advertise,bugging,interrupt,bail,reach,lies,assail,agree,bunt,auditing,bet,advising,collect,advise,comb,blink,jump,monitor,tap,argue,behold,alert,lie,bridging,blaze,recall,bonk,boning,add,bunching,bid,stop,assemble,butted,balk,affect,affixing,broach,bridged,baulk,hold,cover,break,affix,bend,reload,buffing,meet,attract,bridled,aiding,move,draws,tie,abut,reloading,burn,channelling,backfire,bore,admire,bobbing,mount,bear,bump,distribute,blend,bow,glide","cellular,typed,answering,buddhist,appellate,universal,manifold,aneuploid,remote,enzootic,registered,arabian,bluey,abstract,appealable,ptolemaic,one,nasal,brief,exchanged,billion,called,perfunctory,automated,all,disputable,applied,local,few,assigned,audible,aegean,balding,absolute,many,barred,acid,bugged,common,absent,required,blonde,auditing,deliverable,asexual,brut,abdominal,agreed,amoeboid,gone,betting,touched,beetling,done,anarchic,actionable,missing,banded,alert,fiscal,alsatian,ruled,joint,hermaphrodite,annelid,average,arrayed,bended,broached,assorted,constant,alternative,anticlinal,budding,blind,two,bald,armed,planned,six,reformed,biased,broadleaf,brachiopod,bridled,balking,supine,short,black,aerial,roofed,automatic,bottom,great,arctic,secondary,alternate,accident-prone,aclinic,agonic",,,
Web Development,Network storage,"network,infrastructure,networks,site,intranet,internet,sites,technology,management,software,online,extranet,resource,access,implementation,application,automation,availability,website,architecture,channel,programming,affiliate,processing,wiki,browser,project,cloud,design,installation,capacity,growth,http,location,projects,modem,construction,pipeline,developer,financing,usenet,strategy,channels,building,filtering,transformation,proliferation,space,production,hypertext,email,funding,html,advertising,link,browse,framework,degradation,batch processing,manufacturing,webmaster,governance,www,incubator,maintenance,environment,client,updates,bookmark,managing,auditing,cyberspace,cannel,consolidation,map,assets,block diagram,structure,documentation,breadboard,redevelopment,scale,fanfold,analysis,antenna,sector,program,center,democratization,cell,chassis,siting,blog,bridging,mesh,ajax,layout,metazoan,bioenergetics,establishment","build,develop,filtering,automate,link,browse,evolve,manage,updates,managing,auditing,invest,fanfold,siting,bridging,change over,incubate,crawl,cultivate,work,update,feed,twitter,mirroring,address,addressing,seeding,add,catalyze,benefit,move,gain,release,buy,charging,build up,cast,weave,spin,capture,open,call,check,germinate,trace,blaze,conduct,reload,shed,boot,reloading,filtered,report,circulate,make,aim,bring up,bugging,turn,see,applying,bridged,braking,run,assimilate,booting,moves,repress,channelling,apply,set,feel,send,traces,circulated,exercise,carry,freeze,placing,hijack,calculate,camouflage,cancel,twist,anticipate,stubbing,overrun,boning,piecing,translate,ban,appeal,fly,blanking,split,canvasses,canvass,felling,knotting,answer","online,extranet,worldwide,industrial,economic,auditing,cellular,wysiwyg,allosteric,google,binary,airmobile,potential,designed,alternative,central,antilock,attic,cretaceous,adiabatic,whole,armenian,active,achromatic,primitive,quaternary,political,open,possible,formative,net,budding,secondary,organic,apical,retrograde,referenced,airborne,cambrian,acoustic,architectonic,camouflaged,disciplined,cationic,imbecile,chinese,unorganized,cloaked,beige,textured,antiseptic,aromatic,aleatoric,backward,atrophied,applied,lower,bugged,seeded,answering,aplastic,toiling,bionic,cancelled,characteristic,out,young,splitting,noble,campanian,antiestablishment,adjusted,alphabetical,bulleted,armed,babylonian,turned,banned,broached,old,catholic,alphabetic,brilliant,clouded,charged,blank,bracing,baffling,presumptive,abrupt,all-out,allochthonous,analphabetic,anastigmatic,barrelled,brownfield,catenulate,histogenetic,morphotic,totipalmate",,,
